"book_id","title","author","genre","published_year","price","stock"
4,"Customizable 24hour product","Christopher Andrews","Fiction",2020,"43.52",8
22,"Multi-layered optimizing migration","Wesley Escobar","Fiction",1908,"39.23",78
28,"Expanded analyzing portal","Lisa Coffey","Fiction",1941,"37.51",79
29,"Quality-focused multi-tasking challenge","Katrina Underwood","Fiction",1905,"31.12",100
31,"Implemented encompassing conglomeration","Melissa Taylor","Fiction",2010,"21.23",44
39,"Optimized national process improvement","Megan Goodwin","Fiction",1978,"10.99",42
40,"Adaptive didactic interface","Natalie Gonzalez","Fiction",1923,"25.97",94
47,"Reverse-engineered directional conglomeration","John Christian","Fiction",2006,"20.37",90
62,"Re-contextualized real-time strategy","Nicole Lynch","Fiction",1953,"26.34",23
63,"Polarized heuristic database","Franklin Mack","Fiction",1989,"22.38",56
100,"Synchronized client-server service-desk","James Alvarado","Fiction",1906,"49.89",29
116,"Multi-tiered foreground contingency","Jamie Gates","Fiction",1938,"41.82",50
125,"Public-key analyzing Graphic Interface","Abigail Madden","Fiction",1990,"32.41",16
130,"Realigned context-sensitive pricing structure","Jason Rodriguez","Fiction",2004,"6.64",90
134,"Polarized bandwidth-monitored throughput","Linda Newman","Fiction",1955,"35.72",49
142,"Multi-tiered responsive parallelism","Amanda Wilson","Fiction",1940,"48.96",11
143,"Networked multimedia support","Nancy Goodman","Fiction",2012,"43.65",50
144,"Future-proofed scalable software","Matthew Wolf","Fiction",1945,"19.27",90
156,"Synergistic grid-enabled website","Brandon Black","Fiction",1953,"31.68",34
173,"Ergonomic foreground Graphic Interface","Patrick Williams","Fiction",1948,"6.07",100
185,"Networked object-oriented definition","Kelly Vazquez","Fiction",1940,"21.98",10
187,"Total well-modulated groupware","Kenneth Phillips","Fiction",1989,"22.98",7
214,"Fundamental methodical open architecture","Jeffery Green","Fiction",2005,"18.16",47
220,"Multi-lateral zero-defect matrix","Nicole Hughes","Fiction",1904,"16.51",60
249,"Fundamental national infrastructure","Nancy Austin","Fiction",1928,"32.95",58
251,"Seamless 5thgeneration challenge","Michelle Harris","Fiction",1906,"8.87",98
252,"Down-sized high-level encoding","Gabriela Russell MD","Fiction",1902,"12.62",43
253,"Horizontal didactic structure","Robert Rodriguez","Fiction",1961,"11.66",21
260,"Business-focused methodical application","Brian King","Fiction",1907,"49.59",10
263,"Right-sized bifurcated definition","Kayla Wilkinson","Fiction",1965,"9.79",3
274,"Automated systemic functionalities","Matthew Thomas","Fiction",1903,"48.80",72
278,"Exclusive asymmetric installation","Benjamin Flores","Fiction",1901,"48.61",69
297,"Advanced well-modulated architecture","Chad Craig","Fiction",2016,"35.65",2
298,"Assimilated composite archive","Mark Gibson","Fiction",1957,"46.66",62
299,"Centralized disintermediate array","Donald Wiggins","Fiction",1909,"28.19",73
302,"Ergonomic leadingedge portal","James Curtis","Fiction",1981,"28.67",92
315,"Virtual exuding Internet solution","Anne George","Fiction",2012,"42.90",40
324,"Diverse dynamic contingency","James Duran","Fiction",1993,"46.08",23
327,"Implemented zero-defect product","Kim Lee","Fiction",1984,"21.40",29
329,"Multi-tiered dedicated encryption","Jacob Fischer","Fiction",1973,"38.49",27
331,"Profit-focused systematic project","Dennis Hooper","Fiction",1936,"15.36",89
342,"Digitized regional monitoring","Kenneth Finley","Fiction",1969,"17.11",84
362,"Profit-focused multimedia throughput","Andrea Lucas","Fiction",1933,"29.43",64
366,"Re-contextualized national secured line","Robert Wilson","Fiction",1922,"13.10",4
367,"Universal analyzing support","Eric Taylor","Fiction",1940,"29.32",35
372,"Realigned mobile focus group","Michael Jackson","Fiction",1905,"17.73",42
373,"Exclusive dynamic approach","Michelle Mercado","Fiction",1911,"39.09",49
403,"Persevering incremental strategy","David Miller","Fiction",1928,"15.01",82
406,"De-engineered methodical capacity","James Gonzalez","Fiction",2006,"35.79",50
408,"Decentralized tertiary customer loyalty","William Roberts","Fiction",1946,"10.07",2
414,"Organized directional Internet solution","Amanda Carrillo","Fiction",1999,"22.55",93
421,"Exclusive zero administration superstructure","John Pearson","Fiction",1901,"40.05",58
437,"Customizable directional matrices","Alyssa Lopez","Fiction",1960,"44.29",7
439,"Monitored eco-centric framework","Kelly Rodriguez","Fiction",1970,"16.00",94
458,"Cross-group analyzing matrix","Nancy Griffith","Fiction",1914,"37.28",53
472,"Stand-alone clear-thinking extranet","Craig Dominguez","Fiction",1942,"28.09",9
479,"Balanced grid-enabled architecture","Christian Morales","Fiction",2009,"38.27",60
480,"Adaptive mobile toolset","Andrew James","Fiction",1940,"38.15",75
481,"Automated transitional hardware","Nicole Smith","Fiction",1980,"10.55",77
495,"Horizontal background throughput","Billy Lopez","Fiction",1987,"20.31",43
