"book_id","title","author","genre","published_year","price","stock"
2,"Persevering reciprocal knowledge user","Mario Moore","Fantasy",1971,"35.80",19
4,"Customizable 24hour product","Christopher Andrews","Fiction",2020,"43.52",8
5,"Adaptive 5thgeneration encoding","Juan Miller","Fantasy",1956,"10.95",16
6,"Advanced encompassing implementation","Bryan Morgan","Biography",1985,"6.56",2
8,"Persistent local encoding","Troy Cox","Science Fiction",2019,"48.99",84
9,"Optimized interactive challenge","Colin Buckley","Fantasy",1987,"14.33",70
10,"Ergonomic national hub","Samantha Ruiz","Mystery",2015,"24.63",25
11,"Secured zero tolerance time-frame","Denise Barnes","Fantasy",1998,"35.95",10
12,"Polarized optimal array","Destiny Scott","Non-Fiction",1989,"27.43",63
15,"User-friendly motivating strategy","Keith Smith","Non-Fiction",1997,"23.83",58
17,"Reduced secondary core","Benjamin Peters","Fantasy",1966,"5.37",45
18,"Adaptive 4thgeneration concept","Hector Palmer","Non-Fiction",2021,"39.47",32
19,"Progressive asymmetric Internet solution","Sean Miller","Science Fiction",1990,"11.31",1
20,"Face-to-face systematic throughput","Teresa Brennan","Non-Fiction",1978,"48.13",64
23,"Reverse-engineered context-sensitive hardware","Christina Hernandez","Mystery",1967,"38.55",70
25,"Devolved mobile conglomeration","Alexander Bailey","Biography",1984,"8.55",79
26,"Multi-channeled multi-tasking capability","Patricia Buck","Science Fiction",1964,"21.05",41
30,"Multi-layered global open system","Jose Meyer","Biography",2012,"30.58",37
31,"Implemented encompassing conglomeration","Melissa Taylor","Fiction",2010,"21.23",44
32,"Synergistic dedicated concept","Lisa Bailey","Mystery",2021,"21.56",100
33,"Team-oriented empowering synergy","Sandra Williams","Non-Fiction",2023,"35.06",49
35,"Grass-roots solution-oriented adapter","William Turner","Non-Fiction",2018,"31.81",85
37,"Up-sized tertiary archive","Todd Kennedy","Fantasy",1955,"13.08",3
38,"Pre-emptive asynchronous leverage","Courtney Nichols","Fantasy",2022,"16.47",72
39,"Optimized national process improvement","Megan Goodwin","Fiction",1978,"10.99",42
43,"Function-based zero-defect initiative","Daniel Nunez","Romance",1952,"47.39",61
44,"Networked systemic implementation","Ryan Frank","Science Fiction",1965,"13.55",0
