"order_id","customer_id","book_id","order_date","quantity","total_amount"
4,433,343,"2023-11-25",7,"301.21"
19,496,60,"2023-11-17",9,"316.26"
75,291,375,"2023-11-30",5,"170.75"
132,469,333,"2023-11-22",7,"194.32"
137,474,471,"2023-11-25",8,"363.04"
163,207,384,"2023-11-23",3,"101.76"
182,129,293,"2023-11-01",7,"125.51"
200,313,303,"2023-11-23",1,"6.57"
213,325,447,"2023-11-17",7,"253.75"
231,22,384,"2023-11-11",1,"33.92"
245,386,97,"2023-11-01",9,"411.66"
252,405,387,"2023-11-15",5,"237.10"
257,123,403,"2023-11-06",1,"15.01"
288,6,128,"2023-11-13",1,"24.04"
307,368,133,"2023-11-17",1,"20.96"
322,270,112,"2023-11-08",2,"16.04"
344,385,218,"2023-11-25",5,"26.80"
389,485,391,"2023-11-18",2,"66.84"
414,23,234,"2023-11-10",1,"7.15"
429,449,146,"2023-11-01",7,"101.50"
432,420,168,"2023-11-04",3,"42.39"
449,490,222,"2023-11-18",1,"29.59"
461,317,196,"2023-11-18",9,"60.21"
468,162,237,"2023-11-22",6,"242.58"
483,459,202,"2023-11-23",10,"122.60"
